ax,ay,az,gx,gy,gz,mx,my,mz,phi,theta,psi
-0.02683781,0.070079796,-0.33214474,0.13296753,-0.009233367,0.03901378,-0.23566902,-0.77990186,0.36840296,-0.0301766,-0.0256539,2.73561
-0.027122442,0.06888025,-0.3299651,0.1328867,-0.009238735,0.038801346,-0.23550004,-0.77780104,0.36565506,-0.0301744,-0.0256538,2.73561
-0.02715143,0.07278425,-0.33641577,0.1318085,-0.009416413,0.03931783,-0.23752522,-0.7560649,0.36885464,-0.0301755,-0.0256544,2.73562
-0.026449446,0.07238915,-0.3372171,0.1318011,-0.009357413,0.03967132,-0.23914951,-0.75363326,0.37229884,-0.0301811,-0.0256581,2.73563
-0.026787698,0.074249096,-0.33162475,0.1321881,-0.009077701,0.039025355,-0.23512256,-0.7602662,0.37025177,-0.0301859,-0.025653,2.73564
-0.025462009,0.07366037,-0.33714294,0.13293727,-0.009310467,0.03918716,-0.23643094,-0.7695478,0.3712449,-0.0301871,-0.0256499,2.73564
-0.026773194,0.07413673,-0.33663964,0.1332359,-0.009726182,0.040162116,-0.23844099,-0.7815424,0.368343,-0.0301774,-0.0256596,2.73562
-0.028032662,0.076524384,-0.3305652,0.13411127,-0.009610072,0.04023931,-0.2370652,-0.76188624,0.3698367,-0.030173,-0.0256692,2.73564
-0.02902205,0.07692285,-0.3351376,0.13350162,-0.009529872,0.040611774,-0.23916972,-0.7623627,0.36634326,-0.0301711,-0.025672,2.73564
-0.028062781,0.07351914,-0.33297396,0.13228448,-0.0095239235,0.040018357,-0.23626417,-0.76762545,0.36894023,-0.0301677,-0.0256766,2.73565
-0.02777872,0.07301786,-0.32936573,0.13297915,-0.00945871,0.039581753,-0.24018157,-0.7682059,0.36642933,-0.0301711,-0.0256791,2.73565
-0.02763669,0.07276722,-0.32756162,0.1333265,-0.009426104,0.039363448,-0.2421403,-0.76849604,0.36517394,-0.0301716,-0.0256777,2.73565
-0.027212322,0.07495141,-0.3321166,0.1330839,-0.009187699,0.039476838,-0.23950076,-0.7686455,0.36455774,-0.0301673,-0.0256697,2.73564
-0.026515527,0.077192135,-0.3308661,0.13253804,-0.009591441,0.03942804,-0.23595351,-0.77616787,0.36592734,-0.030171,-0.0256703,2.73564
-0.026112834,0.0769979,-0.33891988,0.13162705,-0.009617825,0.03943003,-0.23861063,-0.7879206,0.3714471,-0.0301807,-0.0256788,2.73562
-0.026881015,0.072067544,-0.34135628,0.1317256,-0.009433417,0.039931085,-0.23857528,-0.78583443,0.37116754,-0.030184,-0.0256801,2.73562
-0.025988722,0.07218241,-0.33527064,0.13229747,-0.009391115,0.040156625,-0.24078828,-0.7501497,0.36922348,-0.0301851,-0.0256745,2.73565
-0.025542574,0.072239846,-0.33222818,0.13258341,-0.009369964,0.040269393,-0.24189484,-0.7323073,0.36825156,-0.0301831,-0.0256723,2.73565
-0.0248812,0.073297046,-0.32881594,0.13220109,-0.009259051,0.040347673,-0.23802215,-0.7525898,0.36945772,-0.0301809,-0.0256708,2.73565
-0.026082644,0.073040426,-0.3330183,0.13238518,-0.0093999505,0.03915761,-0.23664755,-0.77406013,0.36775112,-0.0301791,-0.0256653,2.73565
-0.026863642,0.07337328,-0.33923912,0.1320785,-0.009273015,0.039286166,-0.24095106,-0.7477559,0.3694085,-0.0301825,-0.0256651,2.73565
-0.028074589,0.07270097,-0.33792043,0.13245605,-0.00933464,0.03932919,-0.23949367,-0.7680973,0.3629948,-0.0301821,-0.0256658,2.73567
-0.028680064,0.07236482,-0.3372612,0.13264482,-0.0093654515,0.039350703,-0.238765,-0.7782681,0.35978794,-0.0301815,-0.0256651,2.73567
-0.02723332,0.073928244,-0.32987761,0.132721,-0.009503794,0.038847063,-0.24279428,-0.7686373,0.36494136,-0.0301803,-0.0256593,2.73567
-0.026509948,0.074709974,-0.32618618,0.1327591,-0.009572965,0.038595244,-0.24480891,-0.76382184,0.36751807,-0.0301796,-0.025659,2.73567
-0.026217852,0.07044108,-0.33770132,0.1327965,-0.009359522,0.038987905,-0.24186331,-0.7638409,0.3660314,-0.0301761,-0.025654,2.73566
